GEO_SPATIAL_KEY,NODE_TYPE,NODE_DESC,NODE_TRANSPORT,LONGITUDE,LATITUDE
5189,station,Opposite Sri Mariamman Temple,BUS,103.8452778,1.2821165
5199,station,Opposite Hong Lim Complex,BUS,103.8466866,1.2844812
5239,station,Before The Pinnacle@Duxton,BUS,103.8415451,1.2785507
5241,station,Opposite Blk 333,BUS,103.8422617,1.2807429
5259,station,After Kreta Ayer Road,BUS,103.8426886,1.2796963
5269,station,Maxwell Road Food Centre,BUS,103.8447357,1.2811726
5271,station,Opposite Fairfield Methodist Church,BUS,103.8438257,1.2796706
5319,station,OCBC Centre,BUS,103.849148,1.28457
5411,station,Tanjong Pagar Plaza,BUS,103.8432768,1.2760155
5419,station,The Amara,BUS,103.8432076,1.27486
5421,station,After Craig Road,BUS,103.8435327,1.2777437
5429,station,Before Wallich Street,BUS,103.8436694,1.277528
5519,station,Opposite Maritime House,BUS,103.8410891,1.2755506
5521,station,Maritime House,BUS,103.8405558,1.2767252
5629,station,Opposite South Point,BUS,103.8419301,1.2732663
5631,station,Blk 16,BUS,103.840269,1.273505
5641,station,Customs Port Branch Headquarters,BUS,103.8413844,1.2727451
5649,station,Opposite Customs Port Branch Headquarters,BUS,103.8408891,1.2723953
5651,station,Opposite Fuji Xerox Towers,BUS,103.8430561,1.273288
6011,station,Opposite Outram Park Station,BUS,103.8381258,1.2815082
6029,station,Outram Park Station,BUS,103.8387209,1.2816315
6031,station,Opposite Blk 13,BUS,103.8387751,1.2861012
6039,station,Blk 8,BUS,103.839622,1.287011
6049,station,EtonHouse Pre-School,BUS,103.8351684,1.2847447
6051,station,Blk 55,BUS,103.8340114,1.2848263
6069,station,After Furama RiverFront,BUS,103.8349715,1.2862896
6071,station,Blk 2B,BUS,103.8335913,1.2867052
6081,station,Blk 94,BUS,103.8335284,1.2881891
6129,station,Grand Copthorne Hotel,BUS,103.8344438,1.2907348
6131,station,The Boys' Brigade Headquarters,BUS,103.8322607,1.2914849
6141,station,Holiday Inn Atrium,BUS,103.8337907,1.2896472
6149,station,Opposite Holiday Inn Atrium,BUS,103.8341144,1.2898383
6151,station,Hotel Miramar,BUS,103.8373569,1.2887077
6159,station,River View Hotel,BUS,103.8368874,1.2890946
6161,station,Blk 2,BUS,103.8400582,1.2889927
6169,station,River Place Condominium,BUS,103.8399909,1.2893811
6171,station,Opposite Subordinate Court,BUS,103.8425001,1.2860219
6189,station,Central Square,BUS,103.843291,1.287777
7011,station,Peace Centre,BUS,103.8497452,1.3008886
7021,station,Selegie Centre,BUS,103.849977,1.303627
7031,station,Tekka Centre,BUS,103.8511242,1.305589
7111,station,Broadway Hotel,BUS,103.8531382,1.3087314
7211,station,Sri Srinivasa Perumal Temple,BUS,103.8562258,1.3129706
7221,station,Sri Vadapathira K Temple,BUS,103.8578327,1.3150612
7231,station,Before Tai Hoe Hotel,BUS,103.8573356,1.3096696
7241,station,Umar P Tamil Lang Centre,BUS,103.8589473,1.3155787
7249,station,Opposite Umar P Tamil Lang Centre,BUS,103.8593503,1.3155146
7319,station,After Allenby Road,BUS,103.858557,1.310322
7329,station,Hoa Nam Building,BUS,103.8597562,1.3128616
7331,station,After King George's Avenue,BUS,103.8588918,1.3080911
7351,station,Eminent Plaza,BUS,103.8604426,1.313529
7359,station,Opposite Eminent Plaza,BUS,103.860802,1.3135908
7361,station,Opposite Pek Chuan Building,BUS,103.8619007,1.3116721
7369,station,Hock Seng Building,BUS,103.8623512,1.3114376
7371,station,After Kallang Road,BUS,103.8633988,1.3095744
7379,station,Before Kallang Road,BUS,103.8635815,1.3098535
7419,station,Opposite Veerasamy Road,BUS,103.856102,1.3064912
7509,station,SMU,BUS,103.849045,1.297342
7517,station,Opposite Burlington Square,BUS,103.8526305,1.3015435
7518,station,Fortune Centre,BUS,103.8522122,1.3010325
7529,station,Before Sim Lim Tower,BUS,103.854819,1.304466
7531,station,After Sim Lim Square,BUS,103.8525722,1.3035902
7539,station,The Verge,BUS,103.8519916,1.304523
7551,station,Fu Lu Shou Complex,BUS,103.8545701,1.301732
7561,station,Opposite Midlink Plaza,BUS,103.852679,1.299541
7569,station,Midlink Plaza,BUS,103.85299,1.299508
7571,station,Opposite Prime Centre,BUS,103.8510835,1.3006133
7589,station,Opposite Rochor Centre,BUS,103.8553896,1.303238
8011,station,Opposite Haw Par Glass Tower,BUS,103.8436293,1.2969577
8019,station,After Haw Par Glass Tower,BUS,103.8440949,1.2962474
8031,station,Dhoby Ghaut Station,BUS,103.845216,1.2983211
8041,station,YMCA,BUS,103.8478321,1.2980473
8057,station,Dhoby Ghaut Station,BUS,103.8453054,1.2993331
8058,station,Macdonald House,BUS,103.8462919,1.2990098
8069,station,Rendezvous Grand Hotel,BUS,103.8493575,1.2981739
8079,station,School of the Arts,BUS,103.848994,1.299095
8111,station,Winsland House,BUS,103.8408731,1.2998428
8121,station,Somerset Station,BUS,103.8387932,1.3002097
8137,station,Orchard Plaza,BUS,103.8409848,1.3007306
8138,station,Concorde Hotel Singapore,BUS,103.8418596,1.3004608
9011,station,Opposite Ngee Ann City,BUS,103.8343169,1.3021105
9022,station,Opposite Orchard Station,BUS,103.8324358,1.3024837
9023,station,Orchard Station,BUS,103.8323332,1.3030868
9037,station,Opposite Mandarin Orchard,BUS,103.836889,1.3024014
9038,station,Midpoint Orchard,BUS,103.8385703,1.301546
9047,station,Tang Plaza,BUS,103.8326706,1.3046567
9048,station,Lucky Plaza,BUS,103.8341883,1.3038726
9059,station,National Youth Council,BUS,103.836244,1.3004688
9111,station,Opposite Four Seasons Hotel,BUS,103.828948,1.304594
9121,station,Before Tomlinson Road,BUS,103.826712,1.30376
9131,station,Opposite Trader's Hotel,BUS,103.823282,1.3040111
9139,station,After Cuscaden Road,BUS,103.8237579,1.3036181
9141,station,British Council,BUS,103.8217519,1.3054037
9149,station,Opposite British Council,BUS,103.8218326,1.3058456
9159,station,After Tomlinson Road,BUS,103.8257897,1.3060881
9169,station,Delfi Orchard,BUS,103.8283853,1.3070088
9179,station,Royal Thai Embassy,BUS,103.830465,1.305891
9191,station,The Regent Singapore,BUS,103.825429,1.304976
9212,station,Royal Plaza On Scotts,BUS,103.8327098,1.3070666
9213,station,Thong Teck Building,BUS,103.8330268,1.3077741
9219,station,Far East Plaza,BUS,103.8331287,1.3071935
10009,station,Bukit Merah Interchange,BUS,103.8172201,1.2820643
10011,station,Opposite New Bridge Road Terminal,BUS,103.8374624,1.2777365
10017,station,After Hospital Drive,BUS,103.8376028,1.2782899
10018,station,Before Outram Road,BUS,103.8385517,1.2789897
10021,station,Blk 3,BUS,103.8384377,1.2774642
10039,station,Before Hospital Drive,BUS,103.8364061,1.2773948
10041,station,After Blair Road,BUS,103.8351491,1.2760464
10049,station,After Jalan Bukit Merah,BUS,103.8347024,1.2762386
10051,station,Blk 149,BUS,103.8321453,1.2774322
10059,station,Opposite Blk 149,BUS,103.8328072,1.2773621
10061,station,Blk 140,BUS,103.8295138,1.2785589
10069,station,Opposite Blk 140,BUS,103.8300426,1.2785904
10071,station,Blk 111,BUS,103.8263776,1.2804424
10079,station,Blk 201,BUS,103.8268735,1.280474
10081,station,Opposite Blk 120,BUS,103.8224175,1.2822828
10089,station,Blk 119,BUS,103.82164,1.2829638
10091,station,Bukit Merah Town Centre,BUS,103.817807,1.2839191
10099,station,Opposite Bukit Merah Town Centre,BUS,103.8175001,1.2842763
10101,station,SPRING Singapore Building,BUS,103.813675,1.2850391
10109,station,Opposite SPRING Singapore Building,BUS,103.8133897,1.2854037
10111,station,Opposite Blk 28,BUS,103.8093648,1.2859076
10119,station,Opposite Pacific Tech Centre,BUS,103.8112946,1.2859835
10131,station,Opposite Blk 2,BUS,103.8068441,1.2861786
10139,station,Blk 1,BUS,103.8081492,1.2863372
10141,station,Blk 18,BUS,103.8323771,1.2858236
10149,station,Blk 1,BUS,103.832864,1.2860971
10151,station,Central Green Condominium,BUS,103.828568,1.285734
10161,station,Opposite Tiong Bahru Plaza,BUS,103.8266856,1.2859105
10169,station,Tiong Bahru Plaza,BUS,103.8274389,1.2860126
10171,station,Henderson Park,BUS,103.8234561,1.2873416
10179,station,Tiong Bahru Park,BUS,103.8239434,1.2872135
10181,station,Before Al-Rabitah Mosque,BUS,103.8207499,1.28851
10189,station,Blk 104A Carpark,BUS,103.821755,1.2886114
10191,station,Blk 78,BUS,103.8189435,1.2886071
10199,station,Delta Swimming Complex,BUS,103.8193505,1.2887254
10201,station,Opposite Redhill Station,BUS,103.816604,1.2893794
10209,station,Redhill Station,BUS,103.816756,1.289516
10211,station,Porsche Centre Singapore,BUS,103.8113484,1.2908101
10219,station,Opposite Motor Image,BUS,103.8118051,1.2908821
10221,station,Ganges Centre,BUS,103.8311026,1.2903162
10229,station,Opposite Harvest Mansion,BUS,103.8317568,1.2905086
10231,station,Opposite Blk 79,BUS,103.8277918,1.290397
10239,station,Blk 79,BUS,103.8287948,1.290605
10241,station,Gan Eng Seng Secondary School,BUS,103.8236185,1.2906006
10249,station,Opposite Gan Eng Seng Secondary School,BUS,103.8240087,1.2909105
10261,station,Delta Sports Hall,BUS,103.820472,1.290951
10269,station,Opposite Delta Sports Hall,BUS,103.820592,1.291227
10271,station,Opposite Tanglin View,BUS,103.817508,1.2911683
10279,station,Tanglin View,BUS,103.8175806,1.2915206
10281,station,SIS Building,BUS,103.8144377,1.2915268
10289,station,Opposite SIS Building,BUS,103.8143891,1.2918947
